Title,Link,Published Date,Article Text
Tejas MkII Prototype Production work to being soon : HAL,https://idrw.org/tejas-mkii-prototype-production-work-to-being-soon-hal/,"May 23, 2023","SOURCE: RAUNAK KUNDE / NEWS BEAT / IDRW.ORG. During their recent Earnings Call for Q4FY23, top management officials of Hindustan Aeronautics Limited (HAL) announced that the designs for all parts of the LCA Mark-2 are nearly completed, and the company is gearing up to initiate production of the prototype. The HAL expressed confidence that the LCA Mark-2, equipped with more powerful engines and numerous upgrades compared to the existing Tejas, will be developed as per schedule, with its maiden flight anticipated in mid-2025. The LCA Mark-2, also known as Tejas Mark-2, holds immense strategic importance for the Indian Air Force (IAF) as it aims to address the impending shortage of fighter squadrons caused by the gradual retirement of Jaguars, MiG-29s, and Mirage 2000s over the next decade. The LCA Mark-2, along with the indigenous Advanced Medium Combat Aircraft (AMCA), will be positioned as a suitable replacement for these ageing aircraft, ensuring the IAF’s operational capabilities remain robust. The LCA Mark-2 and AMCA are part of India’s strategic vision to bolster its defence capabilities and reduce dependence on imported military equipment. These indigenous fighter aircraft projects represent the country’s determination to establish self-sufficiency in the defence sector and promote domestic manufacturing."
China Solidifies JF-17’s Position in Argentina as Tejas and F-16 Face Setbacks,https://idrw.org/china-solidifies-jf-17s-position-in-argentina-as-tejas-and-f-16-face-setbacks/,"May 23, 2023","SOURCE: RAUNAK KUNDE / NEWS BEAT / IDRW.ORG. China is making notable progress in solidifying the presence of its JF-17 aircraft in Argentina, while India’s Tejas and the F-16 face obstacles in their market prospects. Against the backdrop of Argentina’s economic challenges, the country is increasingly exploring cost-effective options, which China eagerly offers, including the potential for exporting a dozen JF-17s and enabling local production rights. Previously, the Danish F-16 MLU appeared to be leading the competition among the JF-17, Tejas, and itself for Argentina’s consideration. However, recent reports suggest that the Danish offer might be withdrawn, potentially paving the way for Ukraine to receive F-16s from the Western Block as military aid in their confrontation with Russia. China has presented an assertive proposition, highlighting proven features such as ejection seats that can replace the current UK-manufactured Martin Baker ejection seats deployed on the JF-17. In contrast, India has offered to replace British-origin Line-Replaceable Units (LRUs), ejection seats, and aerial refuelling (AAR) probes with indigenous alternatives. However, India is yet to demonstrate the viability of its replacements, and the time required for such conversions may impact the attractiveness of its offer."
Border Security Force Shot Down Pak Drone Carrying Drugs In Punjab,https://idrw.org/border-security-force-shot-down-pak-drone-carrying-drugs-in-punjab/,"May 23, 2023","SOURCE: ANI Troops of Border Security Force (BSF) on Monday shot down a Pakistani drone carrying narcotics along the international border in Punjab’s Amritsar, said a BSF official. The official said that two packets suspected to be heroin have been seized during the search. “BSF shot down a Pakistani drone carrying narcotics near the International border in Punjab’s Amritsar. Troops of 144 Corps of BSF conducted an operation in the BOP Rajatal area in which a drone has been shot down. 2 packets suspected to be of heroin have been seized,” Ajay Kumar Mishra, BSF Commandant, Amritsar said. Earlier on Sunday, officials said the BSF shot down a Pakistani drone carrying narcotics near International Border near Punjab’s Amritsar. The BSF troops deployed in the depth area heard the buzzing sound of a suspected Pakistani drone in the Dhanoe Kalan village in Amritsar district around 8.48 pm on Saturday, the BSF said in a statement. “The BSF troops immediately reacted to intercept the drone as per the laid down drill and successfully downed the Pakistani drone with contraband,” it said. During the initial search of the area, the BSF troops recovered a “drone (Quadcopter, DJI Matrice, 300 RTK) along with a consignment containing three packets of suspected narcotics, attached with the drone by the means of the iron ring, from the farming fields of Dhanoe Kalan village.” The BSF said that four luminous strips were also found attached to the consignment for easy detection of smugglers. “The gross weight of the recovered consignment of suspected heroin is approximately 3.3 kg. Another nefarious attempt of Pakistan foiled by vigilant BSF troops,” added the BSF, which is mandated to guard 3,323 km India-Pakistan border."
ISRO To Launch NVS-01 Navigation Satellite On May 29,https://idrw.org/isro-to-launch-nvs-01-navigation-satellite-on-may-29/,"May 23, 2023","SOURCE: PTI The Indian Space Research Organisation (ISRO) will launch the navigation satellite ‘NVS-01’ onboard its Geosynchronous Satellite Launch Vehicle (GSLV) from Sriharikota in Andhra Pradesh on May 29. The mission is designed to deploy the NVS-01 navigation satellite, weighing 2,232 kilograms, into a Geosynchronous Transfer Orbit (GTO). “The launch of the GSLV-F12/NVS-01 mission is scheduled on Monday, May 29 at 10:42 hours IST from the second launch pad at Satish Dhawan Space Centre in Sriharikota,” the Bengaluru-headquartered national space agency said in a release on Monday. Subsequent orbit raising manoeuvres will be used for taking the satellite to the intended orbit, the space agency said. NVS-01 is the first of the second-generation satellites envisaged for the Navigation with Indian Constellation (NavIC) services, it said. NavIC is India’s own indigenous satellite navigation system similar to the prominent Global Positioning System (GPS), which belongs to the United States. According to ISRO, the NVS series of satellites will sustain and augment the NavIC with enhanced features. This series incorporates L1 band signals additionally to widen the services, it said, adding an indigenous atomic clock will be flown in NVS-01 for the first time."
Fuel Tank of MiG-29 Fighter Jet Falls in Forest Area of West Bengal,https://idrw.org/fuel-tank-of-mig-29-fighter-jet-falls-in-forest-area-of-west-bengal/,"May 23, 2023","SOURCE: API In a recent incident, the fuel tank of a MiG-29 fighter jet has been reported to have fallen in a forest area in West Bengal. The incident, which took place on May 22, has raised concerns about the safety and security of military equipment. According to reports, the fuel tank detached from the aircraft during a routine flight and landed in a forested region. The exact cause of the detachment is yet to be determined, and an investigation is underway to ascertain the circumstances surrounding the incident. Efforts are currently underway to recover the fuel tank and assess any potential environmental impact resulting from its fall in the forest area. The concerned authorities are working to ensure the safe retrieval of the tank and minimize any possible damage. Incidents like these underscore the significance of maintaining high standards of safety and operational procedures in the defense sector. It is essential to conduct thorough investigations and take appropriate measures to prevent similar incidents in the future."
HAL’s Engine Division Likely to Bag the Contract for F414 Engines,https://idrw.org/hals-engine-division-likely-to-bag-the-contract-for-f414-engines/,"May 23, 2023","SOURCE: RAUNAK KUNDE / NEWS BEAT / IDRW.ORG. The Engine Division of Hindustan Aeronautics Limited (HAL) in Bangalore is in the lead to secure a contract for the local manufacturing, under license, of the General Electric F414 engine for the Tejas MkII program. This significant development comes as General Electric awaits final clearance from the Biden administration regarding the Transfer of Technology (ToT) for the engine, which includes clearance for the Core section of the engine to be transferred to India. General Electric anticipates substantial orders for approximately 300 engine units solely from India for its Tejas MkII, TEDBF, and AMCA MkI fighter jet programs. Once the necessary clearances are obtained, the local manufacturing of the F414 engine by HAL’s Engine Division would not only strengthen the indigenous production capabilities but also contribute to India’s self-reliance in the defence sector. The collaboration between HAL and General Electric holds great potential for enhancing the Tejas MkII program and other future fighter jet projects. The production of F414 engines locally would not only provide technical expertise but also create job opportunities and boost the overall aerospace industry in India."
India delivers more assistance to Habibia High School in Kabul,https://idrw.org/india-delivers-more-assistance-to-habibia-high-school-in-kabul/,"May 23, 2023","SOURCE: Ariana News Indian Embassy said on Sunday it recently supplied assistance to the primary school students of Habibia High School in Kabul. The assistance included 500 units of winter clothing and more than 5,000 units of stationery kits (containing items like pen, pencils, eraser, sharpeners, white boards and markers, a press note said. India has been associated with the Habibia High School in Kabul since 2002. The school was founded in 1903 by Amir Habibullah Khan. The 100-room school was extensively damaged during the 1990s. India took up the task of rebuilding the school in September 2003 and committed over $5 million for the restoration. The then Afghanistan President Hamid Karzai and Indian Prime Minister Manmohan Singh had jointly inaugurated the rehabilitated Habibia High School on 28 August 2005.In 2016, Indian government decided to grant financial assistance of $1 million to Habibia High School in Kabul over a period of 10 years. The funds were allocated for the immediate civil repairs, replacement of electricity transformers and related works, modernisation programme, teachers training, upgradation of school laboratories and equipment, and annual routine maintenance. Last year, Indian Technical Team visited Kabul and oversaw the Indian projects, including Habibia High School. During the team’s interaction with the school authorities, they were requested for assistance items. Based on the request and the requirements, India recently sent the winter-clothing and stationery item kits for the students of the Habibia High School. Till date, India has supplied 40,000 tons of wheat assistance, 85 tons of medical assistance and 28 tons of disaster aid relief material. India has also partnered with UNODC in Afghanistan to provide humanitarian assistance for the welfare of the Afghan drug user population, especially females. Under this partnership, India has supplied 1,100 units of female hygiene kits and blankets to UNODC, Kabul. These items will be used by UNODC in their female drug rehabilitation camps across Afghanistan."
"Indian fighter jets, marching contingent to take part in French National Day parade with PM Modi as main guest",https://idrw.org/indian-fighter-jets-marching-contingent-to-take-part-in-french-national-day-parade-with-pm-modi-as-main-guest/,"May 23, 2023","SOURCE: ANI India is preparing to send a military contingent including fighter aircraft to take part in the French National Day parade where Prime Minister Narendra Modi would be the guest of honour. The French traditional military parade is held in Paris during the Bastille Day on July 14. The visit is also marking the 25th anniversary of the “strategic partnership” between France and India. “The Indian military contingent would be including a marching contingent and the Indian Air Force would be deploying its fighter aircraft to take part in the flypast of the event,” defence officials told ANI. The French Air Force is planning to field its Rafale combat aircraft in the parade which is also in the Indian inventory. India may send aircraft from the Jaguar fleet which has been designed by the French and joined the Indian Air Force in the 1980s in significant numbers. In 2016, when French President Francois Hollande had come to India for the Republic Day parade, the French side also sent its contingent. At that time, the French contingent comprising 56 personnel of the 35th Infantry Regiment of the 7th Armoured Brigade had come. The soldiers of their regiment were deployed in India between 1781 and 1784. The contingent was preceded by pipes and drums comprising 48 musicians. India may also send a contingent from the units who have had a history of fighting in the French area during the world wars fought in the last century."
Gujarat ATS arrests suspected Al-Qaeda terrorist; frames charges against 4 people,https://idrw.org/gujarat-ats-arrests-suspected-al-qaeda-terrorist-frames-charges-against-4-people/,"May 23, 2023","SOURCE: IANS The Anti-Terrorism Squad (ATS) of Gujarat on Monday arrested a suspected Al-Qaeda terrorist. A youth from Bangladesh, linked to the banned terrorist organization, was apprehended based on inputs received from the Intelligence Bureau (IB). The suspect Sojibmia, along with three other individuals identified as Aakash Khan, Munna Khan and Abdul Latif, was alleged to have illegally infiltrated into India from Bangladesh. They were residing in Odhav and Narol in Ahmedabad. The ATS acted on the basis of intelligence about the men possessing counterfeit Indian documents. The arrested suspect was reportedly engaged in indoctrinating Muslim youths to join Al-Qaeda, spreading the extremist group’s propaganda, and channelling funds to its leaders. A case under the Unlawful Activities (Prevention) Act (UAPA) has been filed against the four at the ATS Police Station and an investigation has been launched. The Gujarat ATS team apprehended Sojibmia Ahmedali, aged 28, a resident of Sukhram Estate in the Odhav area of Ahmedabad. Ahmed Ali, originally from Khudro village in the Mymensingh district of Bangladesh, was allegedly radicalized by his many contacts in Bangladesh and eventually became a member of Al-Qaeda. Ahmedali was reportedly in touch with a Bangladeshi person named Shariful Islam, who encouraged him to join Al-Qaeda. Following this, Ahmedali was introduced to the Mymensingh district’s chief of the Al-Qaeda organization, a man named Shayba, by Shariful Islam. Shayba assigned Ahmedali the task of radicalizing other youths, recruiting for Al-Qaeda, and amassing funds. Furthermore, he was also trained in using encrypted chat applications, TOR, and VPN for covert communications. ATS Deputy Inspector General Dipen Bhadran said, “Shayba, the handler of this module, had given them assurances and provided his own testimony in the name of Shayba. During the interrogation, it came to light that Ahmed Ali’s associates, Munna Khan (alias Munna Khalid Ansari) and Aakash Khan (alias Jahangir alias Adharul Islam Kafiluddin Ansari), were also associated with Al-Qaeda.” These individuals had also illegally entered India and created fake documents to establish themselves in the country. Information retrieved from these individuals has been instrumental in furthering the investigation, which has revealed a more extensive network of this terror module across India."
"Farooq Abdullah Claims 15,000 Kashmiri Youths Are Engaged as Spies for Intelligence Bureau",https://idrw.org/farooq-abdullah-claims-15000-kashmiri-youths-are-engaged-as-spies-for-intelligence-bureau/,"May 23, 2023","SOURCE: API According to a statement made by Farooq Abdullah, there is an alleged presence of 15,000 Kashmiri youths working as spies for the Intelligence Bureau. The claim, which has garnered significant attention, suggests a considerable involvement of local individuals in intelligence activities. Farooq Abdullah, a prominent political figure, made this assertion, raising concerns about the scope and extent of intelligence operations in Kashmir. While specific details regarding the nature of their activities remain undisclosed, Abdullah’s statement has sparked debates about the involvement of Kashmiri youth in intelligence work. It is important to note that the veracity of these claims cannot be independently verified at this time. The statement made by Abdullah presents a significant allegation that merits further investigation and examination by relevant authorities. The issue of intelligence operations and surveillance in sensitive regions such as Kashmir is a complex matter, with potential implications for national security and the rights of individuals. As the situation develops, it is crucial to gather more information and rely on verified sources to form a comprehensive understanding of the situation."
