Title,Link,Published Date
Tejas MkII Prototype Production work to being soon : HAL,https://idrw.org/tejas-mkii-prototype-production-work-to-being-soon-hal/,"May 23, 2023"
HAL’s Engine Division Likely to Bag the Contract for F414 Engines,https://idrw.org/hals-engine-division-likely-to-bag-the-contract-for-f414-engines/,"May 23, 2023"
China Solidifies JF-17’s Position in Argentina as Tejas and F-16 Face Setbacks,https://idrw.org/china-solidifies-jf-17s-position-in-argentina-as-tejas-and-f-16-face-setbacks/,"May 23, 2023"
ISRO To Launch NVS-01 Navigation Satellite On May 29,https://idrw.org/isro-to-launch-nvs-01-navigation-satellite-on-may-29/,"May 23, 2023"
Fuel Tank of MiG-29 Fighter Jet Falls in Forest Area of West Bengal,https://idrw.org/fuel-tank-of-mig-29-fighter-jet-falls-in-forest-area-of-west-bengal/,"May 23, 2023"
"Indian fighter jets, marching contingent to take part in French National Day parade with PM Modi as main guest",https://idrw.org/indian-fighter-jets-marching-contingent-to-take-part-in-french-national-day-parade-with-pm-modi-as-main-guest/,"May 23, 2023"
"Farooq Abdullah Claims 15,000 Kashmiri Youths Are Engaged as Spies for Intelligence Bureau",https://idrw.org/farooq-abdullah-claims-15000-kashmiri-youths-are-engaged-as-spies-for-intelligence-bureau/,"May 23, 2023"
Punjab ropes in border villagers to tighten vigil against Pakistani drones carrying drugs & arms,https://idrw.org/punjab-ropes-in-border-villagers-to-tighten-vigil-against-pakistani-drones-carrying-drugs-arms/,"May 23, 2023"
Gujarat ATS arrests suspected Al-Qaeda terrorist; frames charges against 4 people,https://idrw.org/gujarat-ats-arrests-suspected-al-qaeda-terrorist-frames-charges-against-4-people/,"May 23, 2023"
India delivers more assistance to Habibia High School in Kabul,https://idrw.org/india-delivers-more-assistance-to-habibia-high-school-in-kabul/,"May 23, 2023"
"Want To Take India-Australia Ties To “Next Level,” Says PM Modi",https://idrw.org/want-to-take-india-australia-ties-to-next-level-says-pm-modi/,"May 23, 2023"
Border Security Force Shot Down Pak Drone Carrying Drugs In Punjab,https://idrw.org/border-security-force-shot-down-pak-drone-carrying-drugs-in-punjab/,"May 23, 2023"
“Aiming at withdrawing AFSPA completely from Assam by end of 2023”: CM Himanta Biswa Sarma,https://idrw.org/aiming-at-withdrawing-afspa-completely-from-assam-by-end-of-2023-cm-himanta-biswa-sarma/,"May 23, 2023"
“There cannot be better place than Kashmir…” India’s G20 Sherpa Amitabh Kant,https://idrw.org/there-cannot-be-better-place-than-kashmir-indias-g20-sherpa-amitabh-kant/,"May 23, 2023"
"Separated By Partition, Siblings Reunite After 75 Years At Pakistan’s Kartarpur",https://idrw.org/separated-by-partition-siblings-reunite-after-75-years-at-pakistans-kartarpur/,"May 23, 2023"
HAL’s Proposal for Seaplane Variant of Do-228 Awaits Indian Navy’s Approval,https://idrw.org/hals-proposal-for-seaplane-variant-of-do-228-awaits-indian-navys-approval/,"May 22, 2023"
HAL Launches Metal Cutting for Series Production of HTT-40,https://idrw.org/hal-launches-metal-cutting-for-series-production-of-htt-40/,"May 22, 2023"
Indian Forces Undergo Krav Maga Training a self-defense system to Counter PLA,https://idrw.org/indian-forces-undergo-krav-maga-training-a-self-defense-system-to-counter-pla/,"May 22, 2023"
Intel agencies expose role of Yasin Malik’s wife in organising protests against G20 meet in Kashmir,https://idrw.org/intel-agencies-expose-role-of-yasin-maliks-wife-in-organising-protests-against-g20-meet-in-kashmir/,"May 22, 2023"
"No visible Chinese incursion since 1962, claims Arunachal Pradesh BJP leader",https://idrw.org/no-visible-chinese-incursion-since-1962-claims-arunachal-pradesh-bjp-leader/,"May 22, 2023"
"No calls from unknown numbers, avoid social media; DRDO issues strong advisory to its personnel",https://idrw.org/no-calls-from-unknown-numbers-avoid-social-media-drdo-issues-strong-advisory-to-its-personnel/,"May 22, 2023"
"Army, CPEC activities damage ecology of Pakistan-occupied Kashmir",https://idrw.org/army-cpec-activities-damage-ecology-of-pakistan-occupied-kashmir/,"May 22, 2023"
Garuda Aerospace and HAL subsidiary Naini Aerospace join hands to manufacture Make in India drones,https://idrw.org/garuda-aerospace-and-hal-subsidiary-naini-aerospace-join-hands-to-manufacture-make-in-india-drones/,"May 22, 2023"
Pakistani nuclear tests in focus after Baloch diaspora launches protests,https://idrw.org/pakistani-nuclear-tests-in-focus-after-baloch-diaspora-launches-protests/,"May 22, 2023"
"For me you are large ocean countries, not small island states: PM Modi at Pacific Forum in Papua New Guinea",https://idrw.org/for-me-you-are-large-ocean-countries-not-small-island-states-pm-modi-at-pacific-forum-in-papua-new-guinea/,"May 22, 2023"
"“Seeing great responsiveness from Australian authorities…,” Indian envoy on vandalism of Hindu temple",https://idrw.org/seeing-great-responsiveness-from-australian-authorities-indian-envoy-on-vandalism-of-hindu-temple/,"May 22, 2023"
"Indian intelligence agencies uncover Pak plot to destabilise G20 meetings, spread propaganda",https://idrw.org/indian-intelligence-agencies-uncover-pak-plot-to-destabilise-g20-meetings-spread-propaganda/,"May 22, 2023"
”Honoured To Host…”: Anthony Albanese Ahead Of PM Modi’s Australia Visit,https://idrw.org/honoured-to-host-anthony-albanese-ahead-of-pm-modis-australia-visit/,"May 22, 2023"
